"","logfcThreshold","TotalPeaks","TotalDAPs","RunTime"
"1",0.000464158883361278,204103,1266,66987.0948257446
"2",0.001,190779,1266,61933.2165791988
"3",0.00215443469003188,162531,1266,45889.0730659962
"4",0.00464158883361278,110009,1266,27924.3708052635
"5",0.01,55251,1264,11884.8065655231
"6",0.0215443469003188,20966,1232,3593.01050567627
"7",0.0464158883361278,4210,909,500.639722585678
"8",0.1,229,165,30.2276754379272
"9",0.215443469003188,3,3,8.27195620536804
